User,Text,Sentiment,CleanText,VADER_Prediction,HF_Prediction
 User123      , Enjoying a beautiful day at the park!              ,positive,enjoying a beautiful day at the park,positive,Positive
 CommuterX    , Traffic was terrible this morning.                 ,negative,traffic was terrible this morning,negative,Negative
 FitnessFan   , Just finished an amazing workout! 💪               ,positive,just finished an amazing workout,positive,Positive
 AdventureX   , Excited about the upcoming weekend getaway!        ,positive,excited about the upcoming weekend getaway,positive,Positive
 ChefCook     , Trying out a new recipe for dinner tonight.        ,neutral,trying out a new recipe for dinner tonight,neutral,Negative
 GratitudeNow , Feeling grateful for the little things in life.    ,positive,feeling grateful for the little things in life,positive,Positive
 RainyDays    , Rainy days call for cozy blankets and hot cocoa.   ,positive,rainy days call for cozy blankets and hot cocoa,negative,Negative
 MovieBuff    , The new movie release is a must-watch!             ,positive,the new movie release is a mustwatch,neutral,Positive
 DebateTalk   , Political discussions heating up on the timeline.  ,negative,political discussions heating up on the timeline,neutral,Positive
 BeachLover   , Missing summer vibes and beach days.               ,neutral,missing summer vibes and beach days,negative,Negative
 BloggerX     , Just published a new blog post. Check it out!      ,positive,just published a new blog post check it out,neutral,Positive
 WellnessCheck, Feeling a bit under the weather today.             ,negative,feeling a bit under the weather today,positive,Negative
 UrbanExplorer, Exploring the city's hidden gems.                  ,positive,exploring the citys hidden gems,neutral,Positive
 FitJourney   ," New year, new fitness goals! 💪                    ",positive,new year new fitness goals,positive,Positive
 TechEnthusiast, Technology is changing the way we live.            ,neutral,technology is changing the way we live,neutral,Positive
 Reflections  , Reflecting on the past and looking ahead.          ,positive,reflecting on the past and looking ahead,neutral,Positive
 PetAdopter   , Just adopted a cute furry friend! 🐾              ,positive,just adopted a cute furry friend,positive,Positive
 GamerX       , Late-night gaming session with friends.            ,positive,latenight gaming session with friends,positive,Positive
 TechConference, Attending a virtual conference on AI.              ,neutral,attending a virtual conference on ai,neutral,Positive
 WinterBlues  , Winter blues got me feeling low.                   ,negative,winter blues got me feeling low,negative,Negative
 Bookworm     , Sipping coffee and enjoying a good book.           ,positive,sipping coffee and enjoying a good book,positive,Positive
 VRExplorer   , Exploring the world of virtual reality.            ,positive,exploring the world of virtual reality,neutral,Positive
 ProductivityPro, Productive day ticking off my to-do list.          ,positive,productive day ticking off my todo list,neutral,Positive
 FitnessWarrior, Just finished a challenging workout routine.       ,positive,just finished a challenging workout routine,positive,Positive
 CareerMilestone, Celebrating a milestone at work! 🎉               ,positive,celebrating a milestone at work,positive,Positive
 BrunchBuddy  , Sunday brunch with friends.                        ,positive,sunday brunch with friends,positive,Positive
 LanguageLearner, Learning a new language for personal growth.       ,positive,learning a new language for personal growth,positive,Positive
 BookLover    , Quiet evening with a good book.                    ,positive,quiet evening with a good book,positive,Positive
 MentalHealthMatters, Reflecting on the importance of mental health.     ,positive,reflecting on the importance of mental health,positive,Positive
 ArtistInAction, New painting in progress! 🎨                       ,positive,new painting in progress,positive,Positive
 RoadTripper  , Weekend road trip to explore scenic views.         ,positive,weekend road trip to explore scenic views,neutral,Positive
 SunsetWatcher, Enjoying a cup of tea and watching the sunset.     ,positive,enjoying a cup of tea and watching the sunset,positive,Positive
 CodeEnthusiast, Coding a new project with enthusiasm.              ,positive,coding a new project with enthusiasm,positive,Positive
 WorkshopAttendee, Feeling inspired after attending a workshop.       ,positive,feeling inspired after attending a workshop,positive,Positive
 WinterSports  , Winter sports day at the local park.               ,positive,winter sports day at the local park,neutral,Positive
 FamilyTime   , Quality time with family this weekend.             ,positive,quality time with family this weekend,neutral,Positive
 MusicLover   , Attending a live music concert tonight.            ,positive,attending a live music concert tonight,neutral,Positive
 MindfulMoments, Practicing mindfulness with meditation.            ,positive,practicing mindfulness with meditation,neutral,Positive
 DessertExplorer, Trying out a new dessert recipe.                   ,positive,trying out a new dessert recipe,neutral,Negative
 GamingEnthusiast, Excited about the upcoming gaming tournament.      ,positive,excited about the upcoming gaming tournament,positive,Positive
 GardenPlanner , Planning a garden makeover for spring.             ,positive,planning a garden makeover for spring,neutral,Positive
 BirthdayBash , Celebrating a friend's birthday tonight! 🎂       ,positive,celebrating a friends birthday tonight,positive,Positive
 ProductivityWin, Feeling accomplished after a productive day.       ,positive,feeling accomplished after a productive day,positive,Positive
 MovieNight   , A cozy evening with a good movie.                 ,positive,a cozy evening with a good movie,positive,Positive
 ArtExplorer  , Exploring local art galleries this weekend.        ,positive,exploring local art galleries this weekend,neutral,Positive
 BookwormX    , New book release from my favorite author!          ,positive,new book release from my favorite author,positive,Positive
 VRMeetup     , Attending a virtual reality meetup.                ,positive,attending a virtual reality meetup,neutral,Positive
 NatureLover  , Reflecting on the beauty of nature.                ,positive,reflecting on the beauty of nature,positive,Positive
 ChefAtHome   , Cooking a special dinner for loved ones.           ,positive,cooking a special dinner for loved ones,positive,Positive
 OptimisticMindset, Feeling optimistic about the week ahead.           ,positive,feeling optimistic about the week ahead,positive,Positive
 FitnessChallenge, Starting a new fitness challenge tomorrow! 💪     ,positive,starting a new fitness challenge tomorrow,positive,Positive
 BikeExplorer  , Sunday bike ride through scenic trails.           ,positive,sunday bike ride through scenic trails,neutral,Positive
 SocialJustice   , Can't believe the injustice happening in our society.,anger,cant believe the injustice happening in our society,positive,Negative
 ThrillerFan     , Feeling a sense of fear after watching a thriller movie. ,fear,feeling a sense of fear after watching a thriller movie,negative,Negative
 EmpathyFirst    , Heartbroken after hearing the news about a natural disaster. ,sadness,heartbroken after hearing the news about a natural disaster,negative,Negative
 EcoAwareness    , The state of the world's environment is just disgusting. ,disgust,the state of the worlds environment is just disgusting,negative,Negative
 ProudFriend     , Pure happiness: celebrating a loved one's achievement! ,happiness,pure happiness celebrating a loved ones achievement,positive,Positive
 ComedyFan       , Laughter is the best medicine—enjoying a comedy show. ,joy,laughter is the best medicineenjoying a comedy show,positive,Positive
 LoveSpreader    , Sharing love and positive vibes with everyone! ❤️      ,love,sharing love and positive vibes with everyone,positive,Positive
 AmusedSoul      , An amusing incident brightened up my day!               ,amusement,an amusing incident brightened up my day,positive,Positive
 BookLoverAgain  , Enjoying a quiet evening with a book and some tea.      ,enjoyment,enjoying a quiet evening with a book and some tea,positive,Positive
 NatureAdmirer   , Admiring the beauty of nature during a peaceful hike.   ,admiration,admiring the beauty of nature during a peaceful hike,positive,Positive
 AffectionSender , Sending affectionate vibes to all my followers!          ,affection,sending affectionate vibes to all my followers,positive,Positive
 AweStruck       , Experiencing awe at the breathtaking sunset.            ,awe,experiencing awe at the breathtaking sunset,positive,Positive
 FoodieGoneWrong , Disappointed with the service at a local restaurant.    ,disappointed,disappointed with the service at a local restaurant,negative,Negative
 HappySurprise   , A surprise gift from a friend made my day!              ,surprise,a surprise gift from a friend made my day,positive,Positive
 AcceptanceSeeker, Finding acceptance in the midst of life's challenges.   ,acceptance,finding acceptance in the midst of lifes challenges,positive,Positive
 PetAdorer       , Overflowing with adoration for my adorable pet! 🐾      ,adoration,overflowing with adoration for my adorable pet,positive,Positive
 AdventureAwaits  , Anticipating a thrilling adventure in the coming weeks. ,anticipation,anticipating a thrilling adventure in the coming weeks,positive,Positive
 LearnFromBitter , A bitter experience turned into a valuable lesson.      ,bitter,a bitter experience turned into a valuable lesson,positive,Positive
 ZenMaster       , Finding calmness in the midst of a busy day.            ,calmness,finding calmness in the midst of a busy day,positive,Positive
 ConfusedMind    , Confusion clouds my mind as I navigate through decisions.,confusion,confusion clouds my mind as i navigate through decisions,negative,Negative
 VacationDreamer , Excitement building up for the upcoming vacation!       ,excitement,excitement building up for the upcoming vacation,positive,Positive
 KindnessPrevails, Kindness witnessed today restored my faith in humanity. ,kind,kindness witnessed today restored my faith in humanity,positive,Positive
 PersonalAchiever, Pride in achieving a personal milestone.               ,pride,pride in achieving a personal milestone,positive,Positive
 ReflectiveSelf  , A moment of shame for not standing up against injustice. ,shame,a moment of shame for not standing up against injustice,negative,Negative
 AngryDebater    , Fuming with anger after a heated argument.            ,anger,fuming with anger after a heated argument,negative,Negative
 FearfulDreamer  , The fear of the unknown is keeping me up at night.    ,fear,the fear of the unknown is keeping me up at night,negative,Positive
 FarewellHeart   , Heartfelt sadness after bidding farewell to a dear friend. ,sadness,heartfelt sadness after bidding farewell to a dear friend,positive,Positive
 AntiCorruption  , The state of corruption in our society is utterly disgusting. ,disgust,the state of corruption in our society is utterly disgusting,negative,Negative
 NewParentJoy    , Overflowing happiness: welcoming a new family member!  ,happiness,overflowing happiness welcoming a new family member,positive,Positive
 StandUpFan      , Laughter is the key to joy—attending a stand-up comedy show. ,joy,laughter is the key to joyattending a standup comedy show,positive,Positive
 LoveSender      , Sending love to all my followers on this beautiful day! ❤️ ,love,sending love to all my followers on this beautiful day,positive,Positive
 PetAmuser       , Amused by the antics of my pet—it's pure amusement!      ,amusement,amused by the antics of my petits pure amusement,positive,Positive
 TravelExplorer  , Enjoying every moment of this trip—pure enjoyment!      ,enjoyment,enjoying every moment of this trippure enjoyment,positive,Positive
 CharityAdmirer  , Admiring the dedication of volunteers at a local charity. ,admiration,admiring the dedication of volunteers at a local charity,positive,Positive
 FamilyLover     , Sending affectionate vibes to friends and family.        ,affection,sending affectionate vibes to friends and family,positive,Positive
 Stargazer       , Awe-struck by the beauty of the night sky.               ,awe,awestruck by the beauty of the night sky,positive,Positive
 ProjectStruggle , Disappointed with the lack of progress in a personal project. ,disappointed,disappointed with the lack of progress in a personal project,negative,Negative
 JoyfulReunion   , A surprise visit from an old friend brought tears of joy. ,surprise,a surprise visit from an old friend brought tears of joy,positive,Positive
 LifeAcceptance  , Embracing acceptance of life's ups and downs.           ,acceptance,embracing acceptance of lifes ups and downs,positive,Positive
 PuppyAdmirer    , Overflowing adoration for a cute rescue puppy! 🐶       ,adoration,overflowing adoration for a cute rescue puppy,positive,Positive
 MovieBuff2      , Anticipating the release of a much-awaited movie.       ,anticipation,anticipating the release of a muchawaited movie,neutral,Positive
 CustomerWoes    , Bitter experience at the customer service department.   ,bitter,bitter experience at the customer service department,negative,Negative
 CalmSoul        , Finding calmness amidst the chaos of daily life.        ,calmness,finding calmness amidst the chaos of daily life,negative,Positive
 ConfusedMind2   , Confusion reigns as I try to make sense of recent events.,confusion,confusion reigns as i try to make sense of recent events,negative,Negative
 BirthdayExcite  , Excitement building up for a surprise birthday party.   ,excitement,excitement building up for a surprise birthday party,positive,Positive
 KindnessObserver, Witnessed an act of kindness that made my day.          ,kind,witnessed an act of kindness that made my day,positive,Positive
 FitAchiever     , Pride in completing a challenging fitness challenge.    ,pride,pride in completing a challenging fitness challenge,positive,Positive
 ReflectiveSelf2 , A moment of shame for not speaking up against injustice.,shame,a moment of shame for not speaking up against injustice,negative,Negative
 DiversityLover  , Reflecting on the beauty of diversity in our world.     ,acceptance,reflecting on the beauty of diversity in our world,positive,Positive
 BookwormJoy     , Excitement for a quiet evening with a good book.        ,excitement,excitement for a quiet evening with a good book,positive,Positive
 WorkplaceWoes   , Feeling bitter about the unfairness in the workplace.   ,bitter,feeling bitter about the unfairness in the workplace,negative,Negative
 MindfulMe       , Calmness prevails as I practice mindfulness.            ,calmness,calmness prevails as i practice mindfulness,positive,Positive
 ConfusedMind3   , Confusion surrounds me as I navigate through life's choices. ,confusion,confusion surrounds me as i navigate through lifes choices,negative,Negative
 RoadTripper2    , Excitement for a weekend road trip to explore new places. ,excitement,excitement for a weekend road trip to explore new places,positive,Positive
 KindnessPrevails2, Kindness witnessed today restores my faith in humanity.  ,kind,kindness witnessed today restores my faith in humanity,positive,Positive
 GoalAchiever    , Pride in accomplishing personal and professional goals.  ,pride,pride in accomplishing personal and professional goals,positive,Positive
 ReflectiveSelf3 , Shame for not being true to my values in a difficult situation.,shame,shame for not being true to my values in a difficult situation,negative,Negative
 NostalgiaFan    ," Revisiting old memories, feeling a sense of elation. ",elation,revisiting old memories feeling a sense of elation,positive,Positive
 SportsFanatic   , The victory of our team brought euphoria to the city. ,euphoria,the victory of our team brought euphoria to the city,positive,Positive
 NatureLover2    ," Embracing the beauty of nature, a moment of contentment. ",contentment,embracing the beauty of nature a moment of contentment,positive,Positive
 ZenMaster2      ," Meditating by the serene lake, finding inner peace.   ",serenity,meditating by the serene lake finding inner peace,positive,Positive
 ThankfulHeart   , Overflowing with gratitude for life's blessings.      ,gratitude,overflowing with gratitude for lifes blessings,positive,Positive
 OptimisticSoul  ," Hopeful for a brighter tomorrow, despite challenges.  ",hope,hopeful for a brighter tomorrow despite challenges,positive,Positive
 CommunityLeader , Empowered to make a difference in my community.        ,empowerment,empowered to make a difference in my community,neutral,Positive
 CharitySupporter, Compassion in action: supporting a local charity event. ,compassion,compassion in action supporting a local charity event,positive,Positive
 LovingHeart     ," A moment of tenderness, connecting with loved ones.    ",tenderness,a moment of tenderness connecting with loved ones,positive,Positive
 ExcitementFan   , Arousal of excitement as I await a special announcement.,arousal,arousal of excitement as i await a special announcement,positive,Positive
 ProjectEnthusiast, Enthusiastically diving into a new project.            ,enthusiasm,enthusiastically diving into a new project,positive,Positive
 MilestoneAchiever, Feeling a sense of fulfillment after reaching a milestone.,fulfillment,feeling a sense of fulfillment after reaching a milestone,positive,Positive
 HistoryLover    , Reverence for the beauty of a historic landmark.       ,reverence,reverence for the beauty of a historic landmark,positive,Positive
 JoyfulReunion2  , Elation after a surprise reunion with old friends.    ,elation,elation after a surprise reunion with old friends,positive,Positive
 MusicEnthusiast , The euphoria of a live music concert under the stars.  ,euphoria,the euphoria of a live music concert under the stars,positive,Positive
 SimpleJoys      , Contentment in the simplicity of a quiet Sunday.       ,contentment,contentment in the simplicity of a quiet sunday,positive,Positive
 BookLover3      , Serenity found in the pages of a favorite book.        ,serenity,serenity found in the pages of a favorite book,positive,Positive
 SupportiveFriend, Gratitude for the support received during tough times. ,gratitude,gratitude for the support received during tough times,positive,Positive
 JourneyOptimist , Hopeful about the possibilities of a new journey.      ,hope,hopeful about the possibilities of a new journey,positive,Positive
 GrowthSeeker    , Empowerment through learning and personal growth.      ,empowerment,empowerment through learning and personal growth,positive,Positive
 HolidayHelper   , Compassion towards those in need during the holidays.  ,compassion,compassion towards those in need during the holidays,positive,Positive
 WinterWarmth    , Tenderness in the warmth of a cozy winter evening.     ,tenderness,tenderness in the warmth of a cozy winter evening,positive,Positive
 AdventureAwaits , Arousal of excitement for an upcoming adventure.       ,arousal,arousal of excitement for an upcoming adventure,positive,Positive
 CreativeSpirit  , Enthusiasm for a creative project in the making.       ,enthusiasm,enthusiasm for a creative project in the making,positive,Positive
 FitnessAchiever , Fulfillment in completing a challenging workout routine.,fulfillment,fulfillment in completing a challenging workout routine,positive,Positive
 ArtAppreciator  , Reverence for the artistry displayed in a museum.      ,reverence,reverence for the artistry displayed in a museum,neutral,Positive
 GoalAchiever2   , Elation after achieving a personal goal.               ,elation,elation after achieving a personal goal,positive,Positive
 UrbanExplorer2  , Elation over discovering a hidden gem in the city.   ,elation,elation over discovering a hidden gem in the city,positive,Positive
 BirthdayJoy     , The euphoria of a surprise birthday celebration.     ,euphoria,the euphoria of a surprise birthday celebration,positive,Positive
 HomeChef        , Contentment in the simplicity of a home-cooked meal. ,contentment,contentment in the simplicity of a homecooked meal,positive,Positive
 MusicLover4     , Serenity found in the melody of a peaceful piano.    ,serenity,serenity found in the melody of a peaceful piano,positive,Positive
 CommunityLove   , Gratitude for the supportive community around me.    ,gratitude,gratitude for the supportive community around me,positive,Positive
 EntrepreneurHope, Hopeful about the prospects of a new business venture.,hope,hopeful about the prospects of a new business venture,positive,Positive
 MentorEmpower   , Empowerment through mentoring and guiding others.    ,empowerment,empowerment through mentoring and guiding others,neutral,Positive
 KindnessInAction, Compassion shown through acts of kindness in the community.,compassion,compassion shown through acts of kindness in the community,positive,Positive
 LoveExpress     , Tenderness in a heartfelt message to a loved one.    ,tenderness,tenderness in a heartfelt message to a loved one,positive,Positive
 TravelExcitement, Arousal of excitement before a much-awaited trip.    ,arousal,arousal of excitement before a muchawaited trip,positive,Negative
 ArtisticSpirit  , Enthusiasm for a new artistic project in the works.  ,enthusiasm,enthusiasm for a new artistic project in the works,positive,Positive
 HelperHeart     , Feeling a sense of fulfillment after helping others. ,fulfillment,feeling a sense of fulfillment after helping others,positive,Positive
 HistoryBuff     , Reverence for the historical significance of a landmark.,reverence,reverence for the historical significance of a landmark,positive,Positive
 FitnessAchiever2, Elation after achieving a fitness milestone.         ,elation,elation after achieving a fitness milestone,positive,Positive
 ProductLaunchJoy, The euphoria of a successful product launch.         ,euphoria,the euphoria of a successful product launch,positive,Positive
 LovingEmbrace   , Contentment in the embrace of a loved one.           ,contentment,contentment in the embrace of a loved one,positive,Positive
 SunsetWatcher2  , Serenity found in the beauty of a sunset by the sea.  ,serenity,serenity found in the beauty of a sunset by the sea,positive,Positive
 JoyfulHeart2    , Gratitude for the small joys that each day brings.   ,gratitude,gratitude for the small joys that each day brings,positive,Positive
 GrowthOptimist  , Hopeful about the potential for personal growth.      ,hope,hopeful about the potential for personal growth,positive,Positive
 SkillEmpower    , Empowerment through learning a new skill.            ,empowerment,empowerment through learning a new skill,neutral,Positive
 CharityVolunteer, Compassion in volunteering for a local charity.       ,compassion,compassion in volunteering for a local charity,positive,Positive
 PetLove         , Tenderness in a quiet moment shared with a pet.      ,tenderness,tenderness in a quiet moment shared with a pet,positive,Positive
 FestivalFan     , Arousal of excitement for an upcoming festival.       ,arousal,arousal of excitement for an upcoming festival,positive,Positive
 DIYEnthusiast   , Enthusiasm for a DIY home improvement project.       ,enthusiasm,enthusiasm for a diy home improvement project,positive,Positive
 PuzzleMaster    , Fulfillment in completing a challenging puzzle.      ,fulfillment,fulfillment in completing a challenging puzzle,positive,Positive
 NatureAdmirer   , Reverence for the wonders of nature on a hiking trail.,reverence,reverence for the wonders of nature on a hiking trail,neutral,Positive
 ChildhoodJoy    , Elation after a surprise reunion with a childhood friend.,elation,elation after a surprise reunion with a childhood friend,positive,Positive
 StrugglingSoul    , Suffering from despair after another setback.      ,despair,suffering from despair after another setback,negative,Negative
 MourningHeart     ," Overwhelmed by grief, missing a loved one dearly.  ",grief,overwhelmed by grief missing a loved one dearly,positive,Negative
 SolitarySoul      , Loneliness creeps in as the night grows colder.    ,loneliness,loneliness creeps in as the night grows colder,negative,Negative
 EnviousObserver   , Jealousy consumes me as I witness others' success. ,jealousy,jealousy consumes me as i witness others success,positive,Positive
 BitterHeart       , Resentment building up over past betrayals.        ,resentment,resentment building up over past betrayals,negative,Negative
 BlockedGoals      , Frustration mounts as obstacles block my path.     ,frustration,frustration mounts as obstacles block my path,negative,Negative
 BoredMind         ," Boredom sets in, the day feels endlessly dull.     ",boredom,boredom sets in the day feels endlessly dull,negative,Negative
 WorriedMind       ," Anxiety grips my heart, worry clouds my thoughts.  ",anxiety,anxiety grips my heart worry clouds my thoughts,positive,Negative
 FearfulSoul       , Intimidation by the unknown future ahead.          ,intimidation,intimidation by the unknown future ahead,negative,Negative
 OverwhelmedHeart  , Helplessness sinks in as challenges pile up.       ,helplessness,helplessness sinks in as challenges pile up,negative,Negative
 CovetousMind     , Envy eats away at me as I see others' prosperity.  ,envy,envy eats away at me as i see others prosperity,negative,Negative
 RemorsefulSoul   , Regret over missed opportunities haunts my thoughts.,regret,regret over missed opportunities haunts my thoughts,negative,Negative
 DisgustedHeart   , Disgust at the sight of injustice and cruelty.     ,disgust,disgust at the sight of injustice and cruelty,negative,Negative
 HopelessHeart    ," Drowning in despair, hope slipping through my fingers.",despair,drowning in despair hope slipping through my fingers,positive,Negative
 TearfulSoul      ," Grief weighs heavy, tears a constant companion.    ",grief,grief weighs heavy tears a constant companion,negative,Negative
 IsolatedMind     ," Loneliness in a crowded room, a silent cry for connection.",loneliness,loneliness in a crowded room a silent cry for connection,negative,Negative
 SelfDoubt        ," Jealousy gnaws at my confidence, a toxic emotion.  ",jealousy,jealousy gnaws at my confidence a toxic emotion,positive,Negative
 BrokenTrust      ," Resentment festers, poisoning relationships.       ",resentment,resentment festers poisoning relationships,negative,Negative
 ExplosiveMind    ," Frustration boils over, a volcanic eruption of emotions.",frustration,frustration boils over a volcanic eruption of emotions,negative,Negative
 MundaneHeart     ," Boredom settles like dust, life feels mundane.     ",boredom,boredom settles like dust life feels mundane,positive,Negative
 RestlessMind     ," Anxiety grips my chest, a relentless grip on my thoughts.",anxiety,anxiety grips my chest a relentless grip on my thoughts,negative,Positive
 FearfulJourney   ," Intimidation by the challenges ahead, fear takes hold.",intimidation,intimidation by the challenges ahead fear takes hold,negative,Negative
 OverwhelmedSoul  ," Helplessness engulfs me, drowning in a sea of problems.",helplessness,helplessness engulfs me drowning in a sea of problems,negative,Negative
 GreenEyedMonster ," Envy poisons my thoughts, coveting others' success.",envy,envy poisons my thoughts coveting others success,negative,Negative
 RegretfulMind    , Regret for decisions that led to a painful present.,regret,regret for decisions that led to a painful present,negative,Negative
 CorruptedHeart   , Disgust at the corruption that stains society.     ,disgust,disgust at the corruption that stains society,negative,Negative
 DrowningSoul     ," Sinking in despair, each day darker than the last. ",despair,sinking in despair each day darker than the last,negative,Negative
 StormyHeart      ," Grief overwhelms, a storm of emotions within.      ",grief,grief overwhelms a storm of emotions within,negative,Negative
 EchoingSoul     ," Loneliness echoes in empty spaces, yearning for connection.",loneliness,loneliness echoes in empty spaces yearning for connection,negative,Negative
 PoisonedMind    ," Jealousy poisons my thoughts, resentment brewing within.",jealousy,jealousy poisons my thoughts resentment brewing within,negative,Negative
